Clothing ID,mean,count,Smoothed Target
1060,0.8446601941747572,103,0.8410345135555588
824,0.7916666666666666,96,0.7969590100632218
825,0.7956989247311828,93,0.8004180988259623
1089,0.7608695652173914,92,0.7718504032797655
903,0.8021978021978022,91,0.8058310375435471
1009,0.8764044943820225,89,0.866488487773704
1066,0.8764044943820225,89,0.866488487773704
876,0.8181818181818182,88,0.8189559737716087
996,0.8068181818181818,88,0.8096967145123494
1098,0.7558139534883721,86,0.7683702374276767
941,0.7108433734939759,83,0.732497525896444
939,0.891566265060241,83,0.8781285938576091
1028,0.8554216867469879,83,0.849002380265376
949,0.8481012658227848,79,0.8429014663367044
1096,0.8205128205128205,78,0.8208902568095279
1047,0.8441558441558441,77,0.8396623213127189
964,0.9090909090909091,77,0.8912087130652963
1084,0.7083333333333334,72,0.7331222300797144
1030,0.8472222222222222,72,0.8418178822536275
857,0.7746478873239436,71,0.7851345622783926
883,0.7428571428571429,70,0.7605249463037081
945,0.7714285714285715,70,0.7827471685259304
1038,0.8840579710144928,69,0.8701937659250981
1075,0.6666666666666666,69,0.7016544400824015
881,0.75,68,0.7664459678106106
1079,0.6507936507936508,63,0.6921354839437799
933,0.8571428571428571,63,0.8487619899678763
819,0.7540983606557377,61,0.7709536440411572
840,0.6949152542372882,59,0.7271803185738447
1091,0.8103448275862069,58,0.8134262200940222
993,0.8620689655172413,58,0.8518877585555606
1111,0.8103448275862069,58,0.8134262200940222
1100,0.8214285714285714,56,0.8216742785175492
871,0.7777777777777778,54,0.7898276373964018
879,0.7592592592592593,54,0.7763141238828883
818,0.6415094339622641,53,0.6910581529771744
815,0.8301886792452831,53,0.8280444543470374
870,0.660377358490566,53,0.7047567831141607
974,0.8,50,0.8063892166761962
844,0.62,50,0.6778177881047677
869,0.94,50,0.9063892166761962
1121,0.7083333333333334,48,0.7418712524607902
839,0.9583333333333334,48,0.9183418406960843
878,0.7872340425531915,47,0.7977200771243841
985,0.9361702127659575,47,0.9021976890646826
937,0.6595744680851063,47,0.7081678383184138
1070,0.8260869565217391,46,0.8249582601111172
1076,0.6956521739130435,46,0.7340491692020262
1074,0.8666666666666667,45,0.8530345410359036
1001,0.8604651162790697,43,0.8483689709100593
965,0.7441860465116279,43,0.76900389154498
1126,0.8333333333333334,42,0.8297942768924795
1044,0.7857142857142857,42,0.7975362123763505
1053,0.8292682926829268,41,0.8270040191366186
880,0.7560975609756098,41,0.7778236912677661
912,0.725,40,0.7574540861222289
952,0.8717948717948718,39,0.8550380536836226
1052,0.7837837837837838,37,0.7973200906549778
906,0.9459459459459459,37,0.9025832485497146
1051,0.918918918918919,37,0.8850393889005919
838,0.6486486486486487,37,0.7096007924093637
999,0.8918918918918919,37,0.867495529251469
995,0.8055555555555556,36,0.8115579494166738
1103,0.8333333333333334,36,0.8294150922738167
822,0.75,36,0.7758436637023881
169,0.8888888888888888,36,0.8651293779881024
942,0.7222222222222222,36,0.7579865208452452
1024,0.9714285714285714,35,0.9172226394060679
1116,0.7142857142857143,35,0.7535862757697043
282,0.8857142857142857,35,0.8626771848606133
1054,0.696969696969697,33,0.7442876446666742
899,0.7878787878787878,33,0.8008914182515798
1049,0.875,32,0.854754714756418
986,0.625,32,0.7009085609102641
921,0.6774193548387096,31,0.7342597091634065
826,0.7419354838709677,31,0.7734753954379163
520,0.9666666666666667,30,0.9089449033466747
1093,0.8333333333333334,30,0.8289449033466747
1123,1.0,30,0.9289449033466747
1088,0.6333333333333333,30,0.7089449033466747
916,0.9310344827586207,29,0.8866784728027293
1085,0.8571428571428571,28,0.8426509409861195
898,0.8214285714285714,28,0.8218176076527861
1107,0.7777777777777778,27,0.7967498971773135
960,0.9615384615384616,26,0.9010270688550811
855,0.7307692307692307,26,0.7705922862463855
1125,0.8461538461538461,26,0.8358096775507333
1004,0.92,25,0.8766054481629718
841,0.6,25,0.698827670385194
1117,0.84,25,0.8321610037185274
1055,0.56,25,0.6766054481629719
1016,0.625,24,0.7147101174394029
1046,0.7083333333333334,24,0.7601646628939485
967,0.9565217391304348,23,0.8941219806356682
966,0.9130434782608695,23,0.8708661666821799
896,0.9130434782608695,23,0.8708661666821799
1115,0.8695652173913043,23,0.8476103527286915
1042,0.8695652173913043,23,0.8476103527286915
1150,0.8181818181818182,22,0.8201725039841365
1003,0.9090909090909091,22,0.8677915516031841
938,0.9090909090909091,22,0.8677915516031841
1026,1.0,21,0.9133474431057008
858,0.6190476190476191,21,0.7182254918861886
992,0.8571428571428571,21,0.8401767113983838
817,0.6666666666666666,21,0.7426157357886276
1027,0.9,20,0.8611811291833433
1011,0.85,20,0.8361811291833433
929,0.55,20,0.6861811291833433
832,0.7,20,0.7611811291833432
1131,0.7894736842105263,19,0.8063396196752238
375,0.9473684210526315,19,0.8832626965983008
1050,0.8947368421052632,19,0.8576216709572753
774,0.7222222222222222,18,0.7749275044035192
902,0.6666666666666666,18,0.748611714929835
918,0.8333333333333334,18,0.8275590833508876
859,0.9444444444444444,18,0.8801906622982562
1036,0.9444444444444444,18,0.8801906622982562
1048,0.9411764705882353,17,0.8769525720901009
1122,0.7058823529411765,17,0.7688444639819927
194,0.8823529411764706,17,0.8499255450630738
1065,0.8125,16,0.817979032425937
1097,0.75,16,0.7902012546481592
944,0.75,16,0.7902012546481592
663,0.9375,16,0.8735345879814925
316,0.8,15,0.8127784333523923
460,0.8,15,0.8127784333523923
1109,0.9333333333333333,15,0.8699212904952495
300,0.9333333333333333,15,0.8699212904952495
260,1.0,15,0.8984927190666779
674,1.0,15,0.8984927190666779
905,0.8666666666666667,15,0.8413498619238209
900,0.8,15,0.8127784333523923
1061,0.9333333333333333,15,0.8699212904952495
988,0.6428571428571429,14,0.7484483872745215
917,0.9285714285714286,14,0.8660954460980509
1015,0.9285714285714286,14,0.8660954460980509
90,0.8571428571428571,14,0.8366836813921685
364,0.7692307692307693,13,0.8014316717373857
